"","code","response","counterexamples","type","p.validity"
"1","A04C",1,"many","affirmation","invalid"
"2","A04C",1,"many","denial","invalid"
"3","A04C",1,"few","affirmation","valid"
"4","A04C",1,"few","denial","valid"
"5","A04C",0,"many","affirmation","invalid"
"6","A04C",1,"many","denial","invalid"
"7","A04C",1,"many","affirmation","valid"
"8","A04C",1,"many","denial","valid"
"9","A04C",1,"few","affirmation","invalid"
"10","A04C",1,"few","denial","invalid"
"11","A04C",1,"many","affirmation","valid"
"12","A04C",1,"many","denial","valid"
"13","A04C",1,"few","affirmation","invalid"
"14","A04C",1,"few","denial","invalid"
"15","A04C",1,"few","affirmation","valid"
"16","A04C",1,"few","denial","valid"
"17","A14G",0,"many","affirmation","invalid"
"18","A14G",1,"many","denial","invalid"
"19","A14G",1,"few","affirmation","valid"
"20","A14G",1,"few","denial","valid"
"21","A14G",1,"many","affirmation","invalid"
"22","A14G",1,"many","denial","invalid"
"23","A14G",1,"many","affirmation","valid"
"24","A14G",1,"many","denial","valid"
"25","A14G",1,"few","affirmation","invalid"
"26","A14G",1,"few","denial","invalid"
"27","A14G",1,"many","affirmation","valid"
"28","A14G",1,"many","denial","valid"
"29","A14G",1,"few","affirmation","invalid"
"30","A14G",1,"few","denial","invalid"
"31","A14G",1,"few","affirmation","valid"
"32","A14G",1,"few","denial","valid"
"33","B11A",1,"many","affirmation","invalid"
"34","B11A",1,"many","denial","invalid"
"35","B11A",1,"few","affirmation","valid"
"36","B11A",1,"few","denial","valid"
"37","B11A",0,"many","affirmation","invalid"
"38","B11A",1,"many","denial","invalid"
"39","B11A",1,"many","affirmation","valid"
"40","B11A",1,"many","denial","valid"
"41","B11A",1,"few","affirmation","invalid"
"42","B11A",1,"few","denial","invalid"
"43","B11A",0,"many","affirmation","valid"
"44","B11A",1,"many","denial","valid"
"45","B11A",1,"few","affirmation","invalid"
"46","B11A",1,"few","denial","invalid"
"47","B11A",1,"few","affirmation","valid"
"48","B11A",1,"few","denial","valid"
"49","D25P",0,"many","affirmation","invalid"
"50","D25P",1,"many","denial","invalid"
"51","D25P",1,"few","affirmation","valid"
"52","D25P",1,"few","denial","valid"
"53","D25P",1,"many","affirmation","invalid"
"54","D25P",1,"many","denial","invalid"
"55","D25P",1,"many","affirmation","valid"
"56","D25P",1,"many","denial","valid"
"57","D25P",1,"few","affirmation","invalid"
"58","D25P",1,"few","denial","invalid"
"59","D25P",1,"many","affirmation","valid"
"60","D25P",1,"many","denial","valid"
"61","D25P",1,"few","affirmation","invalid"
"62","D25P",1,"few","denial","invalid"
"63","D25P",1,"few","affirmation","valid"
"64","D25P",1,"few","denial","valid"
"65","E05K",1,"many","affirmation","invalid"
"66","E05K",1,"many","denial","invalid"
"67","E05K",1,"few","affirmation","valid"
"68","E05K",1,"few","denial","valid"
"69","E05K",1,"many","affirmation","invalid"
"70","E05K",1,"many","denial","invalid"
"71","E05K",1,"many","affirmation","valid"
"72","E05K",1,"many","denial","valid"
"73","E05K",1,"few","affirmation","invalid"
"74","E05K",1,"few","denial","invalid"
"75","E05K",1,"many","affirmation","valid"
"76","E05K",1,"many","denial","valid"
"77","E05K",1,"few","affirmation","invalid"
"78","E05K",1,"few","denial","invalid"
"79","E05K",1,"few","affirmation","valid"
"80","E05K",1,"few","denial","valid"
"81","G25I",1,"many","affirmation","invalid"
"82","G25I",1,"many","denial","invalid"
"83","G25I",1,"few","affirmation","valid"
"84","G25I",1,"few","denial","valid"
"85","G25I",1,"many","affirmation","invalid"
"86","G25I",1,"many","denial","invalid"
"87","G25I",1,"many","affirmation","valid"
"88","G25I",1,"many","denial","valid"
"89","G25I",1,"few","affirmation","invalid"
"90","G25I",1,"few","denial","invalid"
"91","G25I",1,"many","affirmation","valid"
"92","G25I",1,"many","denial","valid"
"93","G25I",1,"few","affirmation","invalid"
"94","G25I",1,"few","denial","invalid"
"95","G25I",1,"few","affirmation","valid"
"96","G25I",1,"few","denial","valid"
"97","H08C",1,"many","affirmation","invalid"
"98","H08C",1,"many","denial","invalid"
"99","H08C",1,"few","affirmation","valid"
"100","H08C",1,"few","denial","valid"
"101","H08C",1,"many","affirmation","invalid"
"102","H08C",1,"many","denial","invalid"
"103","H08C",1,"many","affirmation","valid"
"104","H08C",1,"many","denial","valid"
"105","H08C",1,"few","affirmation","invalid"
"106","H08C",1,"few","denial","invalid"
"107","H08C",1,"many","affirmation","valid"
"108","H08C",0,"many","denial","valid"
"109","H08C",1,"few","affirmation","invalid"
"110","H08C",1,"few","denial","invalid"
"111","H08C",1,"few","affirmation","valid"
"112","H08C",1,"few","denial","valid"
"113","H08M",0,"many","affirmation","invalid"
"114","H08M",1,"many","denial","invalid"
"115","H08M",1,"few","affirmation","valid"
"116","H08M",1,"few","denial","valid"
"117","H08M",1,"many","affirmation","invalid"
"118","H08M",1,"many","denial","invalid"
"119","H08M",1,"many","affirmation","valid"
"120","H08M",1,"many","denial","valid"
"121","H08M",1,"few","affirmation","invalid"
"122","H08M",1,"few","denial","invalid"
"123","H08M",1,"many","affirmation","valid"
"124","H08M",1,"many","denial","valid"
"125","H08M",1,"few","affirmation","invalid"
"126","H08M",1,"few","denial","invalid"
"127","H08M",1,"few","affirmation","valid"
"128","H08M",1,"few","denial","valid"
"129","H11J",1,"many","affirmation","invalid"
"130","H11J",0,"many","denial","invalid"
"131","H11J",1,"few","affirmation","valid"
"132","H11J",1,"few","denial","valid"
"133","H11J",1,"many","affirmation","invalid"
"134","H11J",1,"many","denial","invalid"
"135","H11J",1,"many","affirmation","valid"
"136","H11J",1,"many","denial","valid"
"137","H11J",1,"few","affirmation","invalid"
"138","H11J",1,"few","denial","invalid"
"139","H11J",1,"many","affirmation","valid"
"140","H11J",1,"many","denial","valid"
"141","H11J",1,"few","affirmation","invalid"
"142","H11J",1,"few","denial","invalid"
"143","H11J",1,"few","affirmation","valid"
"144","H11J",1,"few","denial","valid"
"145","H20S",1,"many","affirmation","invalid"
"146","H20S",1,"many","denial","invalid"
"147","H20S",1,"few","affirmation","valid"
"148","H20S",1,"few","denial","valid"
"149","H20S",1,"many","affirmation","invalid"
"150","H20S",1,"many","denial","invalid"
"151","H20S",1,"many","affirmation","valid"
"152","H20S",1,"many","denial","valid"
"153","H20S",1,"few","affirmation","invalid"
"154","H20S",1,"few","denial","invalid"
"155","H20S",1,"many","affirmation","valid"
"156","H20S",1,"many","denial","valid"
"157","H20S",1,"few","affirmation","invalid"
"158","H20S",1,"few","denial","invalid"
"159","H20S",1,"few","affirmation","valid"
"160","H20S",1,"few","denial","valid"
"161","I21N",1,"many","affirmation","invalid"
"162","I21N",1,"many","denial","invalid"
"163","I21N",1,"few","affirmation","valid"
"164","I21N",1,"few","denial","valid"
"165","I21N",1,"many","affirmation","invalid"
"166","I21N",1,"many","denial","invalid"
"167","I21N",1,"many","affirmation","valid"
"168","I21N",1,"many","denial","valid"
"169","I21N",1,"few","affirmation","invalid"
"170","I21N",1,"few","denial","invalid"
"171","I21N",1,"many","affirmation","valid"
"172","I21N",1,"many","denial","valid"
"173","I21N",1,"few","affirmation","invalid"
"174","I21N",1,"few","denial","invalid"
"175","I21N",1,"few","affirmation","valid"
"176","I21N",1,"few","denial","valid"
"177","J12R",1,"many","affirmation","invalid"
"178","J12R",1,"many","denial","invalid"
"179","J12R",1,"few","affirmation","valid"
"180","J12R",1,"few","denial","valid"
"181","J12R",1,"many","affirmation","invalid"
"182","J12R",1,"many","denial","invalid"
"183","J12R",1,"many","affirmation","valid"
"184","J12R",1,"many","denial","valid"
"185","J12R",1,"few","affirmation","invalid"
"186","J12R",1,"few","denial","invalid"
"187","J12R",1,"many","affirmation","valid"
"188","J12R",1,"many","denial","valid"
"189","J12R",1,"few","affirmation","invalid"
"190","J12R",1,"few","denial","invalid"
"191","J12R",1,"few","affirmation","valid"
"192","J12R",1,"few","denial","valid"
"193","J18E",1,"many","affirmation","invalid"
"194","J18E",0,"many","denial","invalid"
"195","J18E",1,"few","affirmation","valid"
"196","J18E",1,"few","denial","valid"
"197","J18E",1,"many","affirmation","invalid"
"198","J18E",1,"many","denial","invalid"
"199","J18E",1,"many","affirmation","valid"
"200","J18E",1,"many","denial","valid"
"201","J18E",1,"few","affirmation","invalid"
"202","J18E",1,"few","denial","invalid"
"203","J18E",1,"many","affirmation","valid"
"204","J18E",1,"many","denial","valid"
"205","J18E",1,"few","affirmation","invalid"
"206","J18E",1,"few","denial","invalid"
"207","J18E",1,"few","affirmation","valid"
"208","J18E",1,"few","denial","valid"
"209","L07H",1,"many","affirmation","invalid"
"210","L07H",0,"many","denial","invalid"
"211","L07H",1,"few","affirmation","valid"
"212","L07H",1,"few","denial","valid"
"213","L07H",1,"many","affirmation","invalid"
"214","L07H",1,"many","denial","invalid"
"215","L07H",1,"many","affirmation","valid"
"216","L07H",1,"many","denial","valid"
"217","L07H",1,"few","affirmation","invalid"
"218","L07H",1,"few","denial","invalid"
"219","L07H",1,"many","affirmation","valid"
"220","L07H",1,"many","denial","valid"
"221","L07H",1,"few","affirmation","invalid"
"222","L07H",1,"few","denial","invalid"
"223","L07H",1,"few","affirmation","valid"
"224","L07H",1,"few","denial","valid"
"225","L30M",1,"many","affirmation","invalid"
"226","L30M",1,"many","denial","invalid"
"227","L30M",1,"few","affirmation","valid"
"228","L30M",1,"few","denial","valid"
"229","L30M",1,"many","affirmation","invalid"
"230","L30M",1,"many","denial","invalid"
"231","L30M",1,"many","affirmation","valid"
"232","L30M",1,"many","denial","valid"
"233","L30M",1,"few","affirmation","invalid"
"234","L30M",1,"few","denial","invalid"
"235","L30M",1,"many","affirmation","valid"
"236","L30M",1,"many","denial","valid"
"237","L30M",1,"few","affirmation","invalid"
"238","L30M",1,"few","denial","invalid"
"239","L30M",1,"few","affirmation","valid"
"240","L30M",1,"few","denial","valid"
"241","M01C",1,"many","affirmation","invalid"
"242","M01C",1,"many","denial","invalid"
"243","M01C",1,"few","affirmation","valid"
"244","M01C",1,"few","denial","valid"
"245","M01C",1,"many","affirmation","invalid"
"246","M01C",0,"many","denial","invalid"
"247","M01C",1,"many","affirmation","valid"
"248","M01C",1,"many","denial","valid"
"249","M01C",1,"few","affirmation","invalid"
"250","M01C",1,"few","denial","invalid"
"251","M01C",1,"many","affirmation","valid"
"252","M01C",1,"many","denial","valid"
"253","M01C",1,"few","affirmation","invalid"
"254","M01C",1,"few","denial","invalid"
"255","M01C",1,"few","affirmation","valid"
"256","M01C",1,"few","denial","valid"
"257","M03G",1,"many","affirmation","invalid"
"258","M03G",1,"many","denial","invalid"
"259","M03G",1,"few","affirmation","valid"
"260","M03G",1,"few","denial","valid"
"261","M03G",1,"many","affirmation","invalid"
"262","M03G",1,"many","denial","invalid"
"263","M03G",1,"many","affirmation","valid"
"264","M03G",1,"many","denial","valid"
"265","M03G",1,"few","affirmation","invalid"
"266","M03G",1,"few","denial","invalid"
"267","M03G",1,"many","affirmation","valid"
"268","M03G",1,"many","denial","valid"
"269","M03G",1,"few","affirmation","invalid"
"270","M03G",1,"few","denial","invalid"
"271","M03G",1,"few","affirmation","valid"
"272","M03G",1,"few","denial","valid"
"273","M11A",1,"many","affirmation","invalid"
"274","M11A",1,"many","denial","invalid"
"275","M11A",1,"few","affirmation","valid"
"276","M11A",1,"few","denial","valid"
"277","M11A",1,"many","affirmation","invalid"
"278","M11A",0,"many","denial","invalid"
"279","M11A",1,"many","affirmation","valid"
"280","M11A",1,"many","denial","valid"
"281","M11A",1,"few","affirmation","invalid"
"282","M11A",1,"few","denial","invalid"
"283","M11A",1,"many","affirmation","valid"
"284","M11A",1,"many","denial","valid"
"285","M11A",1,"few","affirmation","invalid"
"286","M11A",1,"few","denial","invalid"
"287","M11A",1,"few","affirmation","valid"
"288","M11A",1,"few","denial","valid"
"289","M17C",1,"many","affirmation","invalid"
"290","M17C",1,"many","denial","invalid"
"291","M17C",1,"few","affirmation","valid"
"292","M17C",1,"few","denial","valid"
"293","M17C",1,"many","affirmation","invalid"
"294","M17C",1,"many","denial","invalid"
"295","M17C",1,"many","affirmation","valid"
"296","M17C",1,"many","denial","valid"
"297","M17C",1,"few","affirmation","invalid"
"298","M17C",1,"few","denial","invalid"
"299","M17C",0,"many","affirmation","valid"
"300","M17C",0,"many","denial","valid"
"301","M17C",1,"few","affirmation","invalid"
"302","M17C",1,"few","denial","invalid"
"303","M17C",1,"few","affirmation","valid"
"304","M17C",1,"few","denial","valid"
"305","M28E",1,"many","affirmation","invalid"
"306","M28E",1,"many","denial","invalid"
"307","M28E",1,"few","affirmation","valid"
"308","M28E",1,"few","denial","valid"
"309","M28E",1,"many","affirmation","invalid"
"310","M28E",1,"many","denial","invalid"
"311","M28E",1,"many","affirmation","valid"
"312","M28E",1,"many","denial","valid"
"313","M28E",1,"few","affirmation","invalid"
"314","M28E",1,"few","denial","invalid"
"315","M28E",1,"many","affirmation","valid"
"316","M28E",1,"many","denial","valid"
"317","M28E",1,"few","affirmation","invalid"
"318","M28E",1,"few","denial","invalid"
"319","M28E",1,"few","affirmation","valid"
"320","M28E",1,"few","denial","valid"
"321","M29I",0,"many","affirmation","invalid"
"322","M29I",0,"many","denial","invalid"
"323","M29I",1,"few","affirmation","valid"
"324","M29I",1,"few","denial","valid"
"325","M29I",0,"many","affirmation","invalid"
"326","M29I",1,"many","denial","invalid"
"327","M29I",1,"many","affirmation","valid"
"328","M29I",1,"many","denial","valid"
"329","M29I",1,"few","affirmation","invalid"
"330","M29I",1,"few","denial","invalid"
"331","M29I",1,"many","affirmation","valid"
"332","M29I",1,"many","denial","valid"
"333","M29I",1,"few","affirmation","invalid"
"334","M29I",1,"few","denial","invalid"
"335","M29I",1,"few","affirmation","valid"
"336","M29I",1,"few","denial","valid"
"337","P29M",1,"many","affirmation","invalid"
"338","P29M",0,"many","denial","invalid"
"339","P29M",1,"few","affirmation","valid"
"340","P29M",1,"few","denial","valid"
"341","P29M",1,"many","affirmation","invalid"
"342","P29M",1,"many","denial","invalid"
"343","P29M",1,"many","affirmation","valid"
"344","P29M",0,"many","denial","valid"
"345","P29M",1,"few","affirmation","invalid"
"346","P29M",1,"few","denial","invalid"
"347","P29M",1,"many","affirmation","valid"
"348","P29M",1,"many","denial","valid"
"349","P29M",1,"few","affirmation","invalid"
"350","P29M",1,"few","denial","invalid"
"351","P29M",1,"few","affirmation","valid"
"352","P29M",1,"few","denial","valid"
"353","PH52",1,"many","affirmation","invalid"
"354","PH52",1,"many","denial","invalid"
"355","PH52",1,"few","affirmation","valid"
"356","PH52",1,"few","denial","valid"
"357","PH52",1,"many","affirmation","invalid"
"358","PH52",1,"many","denial","invalid"
"359","PH52",1,"many","affirmation","valid"
"360","PH52",1,"many","denial","valid"
"361","PH52",1,"few","affirmation","invalid"
"362","PH52",1,"few","denial","invalid"
"363","PH52",1,"many","affirmation","valid"
"364","PH52",1,"many","denial","valid"
"365","PH52",1,"few","affirmation","invalid"
"366","PH52",1,"few","denial","invalid"
"367","PH52",1,"few","affirmation","valid"
"368","PH52",1,"few","denial","valid"
"369","R09D",1,"many","affirmation","invalid"
"370","R09D",1,"many","denial","invalid"
"371","R09D",1,"few","affirmation","valid"
"372","R09D",1,"few","denial","valid"
"373","R09D",1,"many","affirmation","invalid"
"374","R09D",1,"many","denial","invalid"
"375","R09D",1,"many","affirmation","valid"
"376","R09D",1,"many","denial","valid"
"377","R09D",1,"few","affirmation","invalid"
"378","R09D",1,"few","denial","invalid"
"379","R09D",1,"many","affirmation","valid"
"380","R09D",1,"many","denial","valid"
"381","R09D",1,"few","affirmation","invalid"
"382","R09D",1,"few","denial","invalid"
"383","R09D",1,"few","affirmation","valid"
"384","R09D",1,"few","denial","valid"
"385","R19W",0,"many","affirmation","invalid"
"386","R19W",1,"many","denial","invalid"
"387","R19W",1,"few","affirmation","valid"
"388","R19W",1,"few","denial","valid"
"389","R19W",1,"many","affirmation","invalid"
"390","R19W",1,"many","denial","invalid"
"391","R19W",1,"many","affirmation","valid"
"392","R19W",1,"many","denial","valid"
"393","R19W",1,"few","affirmation","invalid"
"394","R19W",1,"few","denial","invalid"
"395","R19W",1,"many","affirmation","valid"
"396","R19W",1,"many","denial","valid"
"397","R19W",1,"few","affirmation","invalid"
"398","R19W",1,"few","denial","invalid"
"399","R19W",1,"few","affirmation","valid"
"400","R19W",1,"few","denial","valid"
"401","R29A",1,"many","affirmation","invalid"
"402","R29A",0,"many","denial","invalid"
"403","R29A",1,"few","affirmation","valid"
"404","R29A",1,"few","denial","valid"
"405","R29A",1,"many","affirmation","invalid"
"406","R29A",1,"many","denial","invalid"
"407","R29A",1,"many","affirmation","valid"
"408","R29A",1,"many","denial","valid"
"409","R29A",1,"few","affirmation","invalid"
"410","R29A",1,"few","denial","invalid"
"411","R29A",1,"many","affirmation","valid"
"412","R29A",1,"many","denial","valid"
"413","R29A",1,"few","affirmation","invalid"
"414","R29A",1,"few","denial","invalid"
"415","R29A",1,"few","affirmation","valid"
"416","R29A",1,"few","denial","valid"
"417","S04U",1,"many","affirmation","invalid"
"418","S04U",1,"many","denial","invalid"
"419","S04U",1,"few","affirmation","valid"
"420","S04U",1,"few","denial","valid"
"421","S04U",1,"many","affirmation","invalid"
"422","S04U",1,"many","denial","invalid"
"423","S04U",1,"many","affirmation","valid"
"424","S04U",1,"many","denial","valid"
"425","S04U",1,"few","affirmation","invalid"
"426","S04U",1,"few","denial","invalid"
"427","S04U",1,"many","affirmation","valid"
"428","S04U",1,"many","denial","valid"
"429","S04U",1,"few","affirmation","invalid"
"430","S04U",1,"few","denial","invalid"
"431","S04U",0,"few","affirmation","valid"
"432","S04U",1,"few","denial","valid"
"433","V11S",1,"many","affirmation","invalid"
"434","V11S",1,"many","denial","invalid"
"435","V11S",1,"few","affirmation","valid"
"436","V11S",1,"few","denial","valid"
"437","V11S",1,"many","affirmation","invalid"
"438","V11S",1,"many","denial","invalid"
"439","V11S",1,"many","affirmation","valid"
"440","V11S",1,"many","denial","valid"
"441","V11S",1,"few","affirmation","invalid"
"442","V11S",1,"few","denial","invalid"
"443","V11S",1,"many","affirmation","valid"
"444","V11S",1,"many","denial","valid"
"445","V11S",1,"few","affirmation","invalid"
"446","V11S",1,"few","denial","invalid"
"447","V11S",1,"few","affirmation","valid"
"448","V11S",1,"few","denial","valid"
"449","W21A",1,"many","affirmation","invalid"
"450","W21A",1,"many","denial","invalid"
"451","W21A",1,"few","affirmation","valid"
"452","W21A",1,"few","denial","valid"
"453","W21A",1,"many","affirmation","invalid"
"454","W21A",1,"many","denial","invalid"
"455","W21A",1,"many","affirmation","valid"
"456","W21A",0,"many","denial","valid"
"457","W21A",1,"few","affirmation","invalid"
"458","W21A",1,"few","denial","invalid"
"459","W21A",1,"many","affirmation","valid"
"460","W21A",1,"many","denial","valid"
"461","W21A",1,"few","affirmation","invalid"
"462","W21A",1,"few","denial","invalid"
"463","W21A",1,"few","affirmation","valid"
"464","W21A",1,"few","denial","valid"
